Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     71.31 |     71.31 |     71.31 |     71.31
LAS        |     65.32 |     65.32 |     65.32 |     65.32
CLAS       |     58.32 |     59.73 |     59.02 |     59.73
MLAS       |     54.51 |     55.83 |     55.17 |     55.83
BLEX       |     58.32 |     59.73 |     59.02 |     59.73
