Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     70.80 |     70.80 |     70.80 |     70.80
LAS        |     64.78 |     64.78 |     64.78 |     64.78
CLAS       |     57.68 |     59.11 |     58.39 |     59.11
MLAS       |     53.74 |     55.07 |     54.40 |     55.07
BLEX       |     57.68 |     59.11 |     58.39 |     59.11
