Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     98.72 |     98.72 |     98.72 |     98.72
LAS        |     97.79 |     97.79 |     97.79 |     97.79
CLAS       |     97.60 |     98.30 |     97.95 |     98.30
MLAS       |     97.13 |     97.82 |     97.47 |     97.82
BLEX       |     97.60 |     98.30 |     97.95 |     98.30
