Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     98.44 |     98.44 |     98.44 |     98.44
LAS        |     98.08 |     98.08 |     98.08 |     98.08
CLAS       |     97.77 |     97.93 |     97.85 |     97.93
MLAS       |     97.70 |     97.86 |     97.78 |     97.86
BLEX       |     97.77 |     97.93 |     97.85 |     97.93
