Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     96.28 |     96.28 |     96.28 |     96.28
LAS        |     95.49 |     95.49 |     95.49 |     95.49
CLAS       |     95.25 |     95.46 |     95.35 |     95.46
MLAS       |     95.08 |     95.29 |     95.19 |     95.29
BLEX       |     95.25 |     95.46 |     95.35 |     95.46
