Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     79.19 |     79.19 |     79.19 |     79.19
LAS        |     67.57 |     67.57 |     67.57 |     67.57
CLAS       |     62.16 |     63.06 |     62.61 |     63.06
MLAS       |     60.93 |     61.82 |     61.37 |     61.82
BLEX       |     62.16 |     63.06 |     62.61 |     63.06
