Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     97.58 |     97.58 |     97.58 |     97.58
LAS        |     96.94 |     96.94 |     96.94 |     96.94
CLAS       |     96.11 |     96.30 |     96.20 |     96.30
MLAS       |     95.85 |     96.04 |     95.94 |     96.04
BLEX       |     96.11 |     96.30 |     96.20 |     96.30
