Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     98.06 |     98.06 |     98.06 |     98.06
LAS        |     97.67 |     97.67 |     97.67 |     97.67
CLAS       |     96.91 |     97.02 |     96.97 |     97.02
MLAS       |     96.70 |     96.81 |     96.75 |     96.81
BLEX       |     96.91 |     97.02 |     96.97 |     97.02
