Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |      0.00 |      0.00 |      0.00 |      0.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     96.55 |     96.55 |     96.55 |     96.55
LAS        |     95.69 |     95.69 |     95.69 |     95.69
CLAS       |     94.67 |     94.99 |     94.83 |     94.99
MLAS       |     94.32 |     94.64 |     94.48 |     94.64
BLEX       |     94.67 |     94.99 |     94.83 |     94.99
ELAS       |      0.00 |      0.00 |      0.00 |
EULAS      |      0.00 |      0.00 |      0.00 |
