Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     81.61 |     81.61 |     81.61 |     81.61
LAS        |     66.24 |     66.24 |     66.24 |     66.24
CLAS       |     63.36 |     70.66 |     66.81 |     70.66
MLAS       |     53.76 |     59.96 |     56.69 |     59.96
BLEX       |     63.36 |     70.66 |     66.81 |     70.66
