Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     96.54 |     96.54 |     96.54 |     96.54
LAS        |     95.17 |     95.17 |     95.17 |     95.17
CLAS       |     93.77 |     94.17 |     93.97 |     94.17
MLAS       |     93.31 |     93.70 |     93.50 |     93.70
BLEX       |     93.77 |     94.17 |     93.97 |     94.17
