Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     96.76 |     96.76 |     96.76 |     96.76
LAS        |     95.92 |     95.92 |     95.92 |     95.92
CLAS       |     94.89 |     95.13 |     95.01 |     95.13
MLAS       |     94.59 |     94.83 |     94.71 |     94.83
BLEX       |     94.89 |     95.13 |     95.01 |     95.13
