Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     89.92 |     89.92 |     89.92 |     89.92
LAS        |     87.57 |     87.57 |     87.57 |     87.57
CLAS       |     85.49 |     86.24 |     85.86 |     86.24
MLAS       |     84.91 |     85.66 |     85.29 |     85.66
BLEX       |     85.49 |     86.24 |     85.86 |     86.24
