Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     76.48 |     76.48 |     76.48 |     76.48
LAS        |     62.89 |     62.89 |     62.89 |     62.89
CLAS       |     57.64 |     59.06 |     58.34 |     59.06
MLAS       |     55.27 |     56.63 |     55.94 |     56.63
BLEX       |     57.64 |     59.06 |     58.34 |     59.06
