Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |      0.00 |      0.00 |      0.00 |      0.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     94.61 |     94.61 |     94.61 |     94.61
LAS        |     93.30 |     93.30 |     93.30 |     93.30
CLAS       |     91.74 |     92.47 |     92.10 |     92.47
MLAS       |     91.02 |     91.75 |     91.38 |     91.75
BLEX       |     91.74 |     92.47 |     92.10 |     92.47
ELAS       |      0.00 |      0.00 |      0.00 |
EULAS      |      0.00 |      0.00 |      0.00 |
