Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |      0.00 |      0.00 |      0.00 |      0.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     91.38 |     91.38 |     91.38 |     91.38
LAS        |     89.96 |     89.96 |     89.96 |     89.96
CLAS       |     87.97 |     88.81 |     88.39 |     88.81
MLAS       |     86.78 |     87.61 |     87.19 |     87.61
BLEX       |     87.97 |     88.81 |     88.39 |     88.81
ELAS       |      0.00 |      0.00 |      0.00 |
EULAS      |      0.00 |      0.00 |      0.00 |
