Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |      0.00 |      0.00 |      0.00 |      0.00
UFeats     |     35.46 |     35.46 |     35.46 |     35.46
AllTags    |      0.00 |      0.00 |      0.00 |      0.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     96.96 |     96.96 |     96.96 |     96.96
LAS        |     95.03 |     95.03 |     95.03 |     95.03
CLAS       |     92.98 |     93.12 |     93.05 |     93.12
MLAS       |      5.17 |      5.18 |      5.18 |      5.18
BLEX       |     92.98 |     93.12 |     93.05 |     93.12
ELAS       |      0.00 |      0.00 |      0.00 |
EULAS      |      0.00 |      0.00 |      0.00 |
